method,count,sum,max,min,avg,sd
before (?-mix:.*),347,0.15924148805788718,0.010302884998964146,1.4099001418799162e-05,0.0004589091874867066,0.0013879777014492696
before /api/*|/admin/api/*,298,0.0044425499509088695,9.169499389827251e-05,7.299007847905159e-06,1.4907885741304932e-05,8.038888412763537e-06
db,431999,0.5849594876199262,0.03026379299990367,1.9998697098344564e-07,1.3540760224443257e-06,6.882256887614293e-05
get_events,35,160.21735343997716,25.825108434000867,0.44773457599512767,4.577638669713633,5.618564913341926
get_event,438,315.0121109449101,13.293486330003361,0.0001110929879359901,0.7192057327509362,0.7186835746262646
sanitize_event,154,0.002137869014404714,0.0012166270025772974,9.999930625781417e-07,1.3882266327303339e-05,0.0001028692305826062
get_login_user,303,0.22033545190060977,0.031604713993147016,2.0999868866056204e-06,0.0007271797092429365,0.0024083511367521946
get_login_administrator,80,0.16660115601553116,0.13540481800737325,2.0989973563700914e-06,0.0020825144501941395,0.01511352889156932
validate_rank,51,0.06431036499270704,0.011660104006296024,0.00013809200027026236,0.0012609875488766085,0.002172356188103515
body_params,355,0.006802993884775788,0.0007065579993650317,1.00000761449337e-07,1.9163363055706445e-05,6.871573946837056e-05
halt_with_error,36,,,,,0.0
render_report_csv,17,4.282793566977489,2.7751597540045623,1.2899996363557875e-05,0.251929033351617,0.690669419374334
GET /,30,81.09937068498402,4.662128822994418,0.45204051899781916,2.7033123561661343,1.098053405980982
HEAD /,0,,,,,0.0
